Catégorie,Problème identifié,Explication du problème,Bonne pratique à adopter,Action recommandée,Référence,n°
Accessibilité, Titre  non pertinant pour le site,"Le site a pour titre "".""",Titre obligatoire et pertinant,FALSE,Check-list MDN,1
Accessibilité,3 images  non responsive ,les images ne sont pas adapté a tout les format d'écran,Avoir des images responsives qui s'adapte a la taille de l'ecran de l'utilisateur,,,2
Accessibilité,3 images contenant du texte avec une description non adapté,le texte des images et non lisible pour les utilisateur malvoyant et la description des images n' est pas pertinante pour ceux ci,Remplacer les images contenant un texte uniquement par le texte contenu dans l'image,FALSE,,3
Performance,Certaines images sont trop volumineuse,Certaines images ont un format non adapté,Ne pas utiliser d'image trop volumineuse,FALSE,Google lighthouse,4
Accessibilité,Contraste de couleur non adapté,le ratio de certaines couleur n est pas conforme aux exigences du niveau AA du WCAG 2.1,Avoir un ration conforme sur les contrastes,FALSE,Check-list MDN,5
Accessibilité,Pas de langue pour le site,le site n' a pas de langue en paramètre,Avoir une langue pour le site dans le code source,FALSE,Google lighthouse,6
Accessibilité,Ordre de certains éléments non pertinent,Certains éléments comme les titre ont un ordre a respecter,Avoir un ordre logique et rationnel pour les éléments du site,FALSE,Google lighthouse,7
Accessibilité,Les lien n'ont pas de nom descriptif,C' est un probleme d'accessibilité ,Avoir un nom descriptif pour les lien,FALSE,Google lighthouse,8
Accessibilité,Les label n'ont pas de nom descriptif,C'est un probleme d'accessibilité,Avoir un nom descriptif pour les label,FALSE,Check-list MDN,9
SEO,Certains document n'ont pas de meta description,,Avoir une meta description pour les document du site,FALSE,Google lighthouse,10
,Le site n'est pas responsive,"Le site n'est pas adapté a tout les format d'ecran ,les format de mobile en particulier",Avoir un site adapté a toute les taille d'écran,FALSE,,11
